postcode,original_journey_time,new_journey_time,change_in_journey_time,lng,lat
E9  7DL,42,42,0,-0.0455781991312,51.5409041169
EC1A1ZG,22,22,0,-0.112042463642,51.5245650953
EC1A9PN,11,11,0,-0.0989934879812,51.5197861283
EC1A9PQ,11,11,0,-0.100660844481,51.5195523562
EC1M6EB,13,13,0,-0.0981626822326,51.5206988924
EC1R1UX,26,26,0,-0.10601989799,51.53039408
EC1R5EF,20,20,0,-0.108837075871,51.5229487594
EC1V0DB,20,20,0,-0.101133382559,51.5244789265
EC1V8AX,24,24,0,-0.0971576741212,51.5289017749
EC2A1ZH,22,22,0,-0.112042463642,51.5245650953
EC2A2HT,22,22,0,-0.112042463642,51.5245650953
EC2A3LP,26,26,0,-0.0783129638173,51.5227763758
EC2A4WZ,22,22,0,-0.112042463642,51.5245650953
EC2N1HT,18,18,0,-0.0840307092977,51.5156848542
EC2P2WH,22,22,0,-0.112042463642,51.5245650953
EC2P2YZ,22,22,0,-0.112042463642,51.5245650953
EC2V6HH,5,5,0,-0.0962767794393,51.5151109017
EC2V7DE,8,8,0,-0.0951571305965,51.5167293682
EC2V7NA,11,11,0,-0.0909742489414,51.5150786706
EC3N1AD,24,24,0,-0.0760392435264,51.5134497723
EC3V3QX,17,17,0,-0.0850308182057,51.5134890153
EC4N6AS,13,13,0,-0.0872438588559,51.5108903046
EC4P4WP,22,22,0,-0.112042463642,51.5245650953
EC4R0BL,13,13,0,-0.088531616299,51.5107674182
EC4R0DP,13,13,0,-0.0881389079851,51.5105092253
EN1 1NF,72,72,0,-0.0732561814647,51.6509981839
EN1 2JH,79,79,0,-0.0762597276861,51.6404903537
EN1 2NL,68,68,0,-0.0690735705493,51.6378455188
EN1 3SD,67,67,0,-0.0637169820268,51.6523160203
EN2 0LN,75,75,0,-0.0837562942094,51.6652700543
EN2 0PB,65,65,0,-0.0900764144744,51.6666229515
EN2 8AE,70,70,0,-0.14792478996,51.6813796343
EN2 8HW,75,75,0,-0.10387417876,51.6596436758
EN3 5HU,60,60,0,-0.0325911998514,51.6633628902
EN3 6AX,55,55,0,-0.032660681715,51.6687685021
EN3 7JA,62,62,0,-0.0411328832029,51.6590994008
EN5 1PU,63,63,0,-0.1825529522,51.6478219593
EN5 1SB,58,58,0,-0.178473365385,51.6464638565
EN5 2JT,64,64,0,-0.204174700324,51.6508073401
EN5 2TU,68,68,0,-0.197823826143,51.6450988753
EN5 2UR,80,80,0,-0.216199195478,51.6486616304
EN5 3NB,71,71,0,-0.236287309972,51.646159501
HA0 1JD,58,58,0,-0.29294088657,51.5381008933
HA0 1YY,54,54,0,-0.297135126003,51.5358328401
HA0 4EU,72,72,0,-0.290041540787,51.5446680132
HA1 1AS,54,54,0,-0.3369575376,51.5809875661
HA1 2BH,67,67,0,-0.326068022186,51.5851040547
HA1 2JW,65,65,0,-0.327998257439,51.5852124982
HA1 3PA,77,77,0,-0.347104132137,51.5618875942
HA2 0FB,67,67,0,-0.352089276858,51.5656624963
HA2 0JB,67,67,0,-0.342077022407,51.5699995909
HA2 6BZ,66,66,0,-0.359751029052,51.5905073203
HA2 7BS,60,60,0,-0.362088685805,51.5821053143
HA2 7LL,66,66,0,-0.366493823725,51.580413235
HA2 7QG,64,64,0,-0.371072847464,51.5843435064
HA2 7SY,57,57,0,-0.361714674783,51.5860836246
HA2 9TX,64,64,0,-0.366751401311,51.5724227774
HA3 0TA,60,60,0,-0.288660789858,51.5841509313
HA3 0TD,64,64,0,-0.290150491759,51.5836870627
HA3 6BA,71,71,0,-0.326743957122,51.6048155783
HA3 6DP,77,77,0,-0.335973983975,51.6102791334
HA3 6LZ,84,84,0,-0.349410292059,51.6073575395
HA3 7DE,73,73,0,-0.331340952435,51.604683187
HA3 7PW,78,78,0,-0.3247405249,51.5956869144
HA3 9TP,66,66,0,-0.284462588086,51.5794946
HA4 6AF,66,66,0,-0.413133903789,51.5710808342
HA4 6JW,69,69,0,-0.418653512217,51.5675405009
HA4 6PR,61,61,0,-0.418793869045,51.5589189293
HA4 8DN,68,68,0,-0.417446443683,51.57529343
HA4 8HG,70,70,0,-0.419732901151,51.5746947904
HA4 9EB,74,74,0,-0.394982855932,51.5681633291
HA4 9TE,71,71,0,-0.399888894131,51.5722677996
HA5 1AH,67,67,0,-0.387532801628,51.590316769
HA5 1BT,67,67,0,-0.386906211327,51.5888514336
HA5 1RP,66,66,0,-0.400031772176,51.579706248
HA5 2RB,73,73,0,-0.408177615036,51.5923430325
HA5 3LG,66,66,0,-0.389096191903,51.597540929
HA5 4LD,77,77,0,-0.374050191338,51.6080880664
HA5 4ZN,61,61,0,-0.385170687215,51.5950501253
HA5 5AG,67,67,0,-0.376827019508,51.577193531
HA5 9HR,61,61,0,-0.385170687215,51.5950501253
HA6 2TJ,80,80,0,-0.438476732878,51.6092774373
HA6 3RB,78,78,0,-0.407214902025,51.612022664
HA6 9FZ,68,68,0,-0.415666332107,51.6036574922
HA7 2ES,76,76,0,-0.314270070393,51.6023980544
HA7 2HH,69,69,0,-0.308967150994,51.599381331
HA7 3SH,77,77,0,-0.32051648647,51.6143033113
HA7 4RD,63,63,0,-0.297603013934,51.6179298325
HA7 9FB,67,67,0,-0.295622810006,51.604466756
HA8 0JL,52,52,0,-0.25040687179,51.6082796661
HA8 0NB,57,57,0,-0.256286034305,51.6059841999
HA8 4GL,55,55,0,-0.277831926018,51.6132442728
HA8 5JQ,64,64,0,-0.266038923159,51.5959944114
HA8 6AB,67,67,0,-0.285419465293,51.5993184883
HA8 6TG,66,66,0,-0.300215808091,51.6129500509
HA8 7RZ,70,70,0,-0.288877070309,51.6148895001
HA8 7SZ,68,68,0,-0.286748988462,51.6157846591
HA8 8DY,64,64,0,-0.28025893838,51.6181985905
HA8 8RW,74,74,0,-0.274338387416,51.6257640792
HA8 8SW,67,67,0,-0.273737849462,51.6236960362
HA8 9ER,55,55,0,-0.262428269023,51.6111558947
HA9 6BW,60,60,0,-0.286084251487,51.5513455024
HA9 6RR,62,62,0,-0.272146757126,51.5495494459
HA9 7SB,60,60,0,-0.29104893535,51.5578114311
HA9 8HP,46,46,0,-0.283038512363,51.5617500124
HA9 8NN,53,53,0,-0.295048320243,51.5665921106
HA9 9DN,61,61,0,-0.264772840768,51.5629111014
IG1 2HZ,63,63,0,0.0693906964035,51.5489411871
IG1 3BE,48,48,0,0.0648896006547,51.5642091653
IG1 3EQ,52,52,0,0.0604385911291,51.5653305674
IG1 4AU,54,54,0,0.0870675927366,51.5667573613
IG1 4SS,53,53,0,0.081516433852,51.5640052881
IG1 9RT,41,41,0,0.0723730263698,51.5580700977
IG110UA,63,63,0,0.132580980793,51.5304263604
IG110XQ,69,69,0,0.120030392807,51.5265531653
IG117QL,57,57,0,0.0883096175259,51.5362319084
IG119PZ,47,47,0,0.0991566824894,51.5378728154
IG119TG,44,44,0,0.0868435241179,51.5388569057
IG2 6LY,43,43,0,0.0721173520756,51.5765635875
IG2 7SD,47,47,0,0.105679284027,51.5807592175
IG3 9TF,49,49,0,0.101987196062,51.5617428518
IG5 0PP,59,59,0,0.0492417627326,51.5913175769
IG5 0XJ,64,64,0,0.0748735416598,51.5965145791
IG6 1EG,57,57,0,0.0802890421198,51.5829476851
IG6 3AG,49,49,0,0.0962493492232,51.6048036475
IG6 3AQ,50,50,0,0.0972565874124,51.6050374477
IG8 0LP,52,52,0,0.0366302170197,51.6159879943
IG8 7BJ,48,48,0,0.0382522043809,51.6015716921
IG8 7BX,43,43,0,0.0328903079175,51.604056719
IG8 9LL,52,52,0,0.00223387522391,51.6044308315
IG8 9SH,61,61,0,0.015282766564,51.6131011453
KT2 5GE,85,85,0,-0.309527998999,51.4277529713
KT2 5LL,100,100,0,-0.292439402851,51.4269657271
KT2 5LT,98,98,0,-0.290125846555,51.4261316714
KT2 5PP,83,83,0,-0.305149057465,51.4263588546
KT2 6QD,69,69,0,-0.299906828819,51.4106360478
KT3 4ER,64,64,0,-0.255043566289,51.399284545
KT3 5NB,80,80,0,-0.259721941373,51.3866206737
KT4 7JX,75,75,0,-0.258652228618,51.3799682737
KT4 8LH,83,83,0,-0.233346828531,51.3777279841
KT4 8PN,78,78,0,-0.228183579257,51.3815707883
KT4 9DJ,63,63,0,-0.242743152232,51.3800095225
KT5 8JL,85,85,0,-0.291063536851,51.3890333407
KT5 9YW,84,84,0,-0.292848990977,51.4047782616
KT6 4EA,69,69,0,-0.310339804343,51.3936472617
KT6 4ES,73,73,0,-0.31175030225,51.3971117131
KT6 4TF,71,71,0,-0.301417681878,51.3966386708
KT6 5PS,70,70,0,-0.31160264462,51.39253241
